新北市,2135,2366,1744,1353,1530,1356,1270,1865,1609,2126
臺北市,2729,2585,1813,1000,696,514,687,918,807,887
桃園市,1690,1356,1862,2710,1582,2120,2442,7101,8870,9537
臺中市,1533,1834,1826,1870,2159,2947,2626,2830,2578,2373
臺南市,907,868,899,1053,1271,1373,1482,1833,2040,2339
高雄市,1515,2629,2169,3382,5135,5431,5716,7486,6174,6356
宜蘭縣,243,215,232,176,190,252,294,311,392,460
新竹縣,346,397,335,318,320,338,422,479,534,454
苗栗縣,614,436,384,554,603,377,374,423,614,480
彰化縣,711,761,859,748,630,1019,1411,1222,1161,1148
南投縣,86,75,251,449,419,337,193,297,443,359
雲林縣,200,213,292,360,478,1609,503,468,367,1202
嘉義縣,572,799,265,207,182,295,420,328,280,216
屏東縣,261,218,294,325,370,437,605,794,851,914
臺東縣,13,25,33,34,27,36,34,29,60,48
花蓮縣,354,374,247,149,168,171,112,118,127,251
澎湖縣,137,125,75,55,44,63,61,143,213,152
基隆市,273,248,270,310,412,354,317,571,537,483
新竹市,207,192,192,213,264,268,321,402,393,418
嘉義市,286,270,415,619,689,693,440,466,1198,1149
金門縣,64,69,65,73,91,112,142,110,101,94
連江縣,17,16,12,10,19,10,8,11,17,31
