新北市,44,111,45,167,64,9,95,10,62,63
臺北市,3,2,2,1,2,1,1,1,0,1
桃園市,35,29,53,37,34,47,70,65,69,75
臺中市,83,141,176,140,92,118,125,143,122,170
臺南市,73,68,64,84,136,123,148,158,167,180
高雄市,246,141,145,99,76,68,89,128,155,159
宜蘭縣,35,61,80,50,27,22,57,21,31,35
新竹縣,6,5,6,6,18,34,45,51,37,21
苗栗縣,106,85,51,48,12,32,167,44,52,41
彰化縣,154,160,245,101,139,466,439,776,2085,2319
南投縣,32,55,24,41,53,66,61,36,65,117
雲林縣,203,173,177,172,244,250,264,336,408,270
嘉義縣,91,45,40,64,55,108,190,189,153,183
屏東縣,80,49,116,92,53,69,93,166,200,318
臺東縣,8,10,91,121,79,67,74,68,95,141
花蓮縣,8,17,20,12,8,17,18,10,8,19
澎湖縣,33,38,21,6,4,7,4,1,0,0
基隆市,32,30,21,8,8,5,4,7,2,2
新竹市,14,24,3,2,3,4,2,3,3,3
嘉義市,0,0,5,5,5,2,5,13,49,49
金門縣,1,2,0,2,0,0,1,1,1,1
連江縣,0,0,0,1,7,5,4,5,6,8
