新北市,5075,7020,6370,4251,3890,4161,5505,9573,7434,12562
臺北市,3005,2916,2820,3031,2301,1498,1016,1129,1483,1697
桃園市,3934,3294,5443,5276,4241,6224,10260,14731,15498,25157
臺中市,3859,4871,5536,5387,5564,5513,5427,5929,5803,5849
臺南市,2273,1985,2032,2205,2697,3072,3248,4082,4581,5225
高雄市,3540,6038,6366,7765,8001,7929,8752,14941,19497,30837
宜蘭縣,878,752,932,630,766,1006,1203,1272,1442,1611
新竹縣,764,793,1006,1063,896,1028,969,1276,1428,1413
苗栗縣,1178,1357,1289,1709,2898,2143,2692,3539,4370,4361
彰化縣,2298,3998,3467,3153,3872,3627,4524,5429,5301,12557
南投縣,551,373,874,1519,1325,1099,881,1231,1801,1688
雲林縣,1187,2166,3144,3193,3552,7894,5487,6753,7515,6205
嘉義縣,920,733,787,608,822,1358,1863,1766,1830,1896
屏東縣,1227,1364,1449,3397,4735,3849,4065,5839,6261,6319
臺東縣,55,123,155,173,231,274,296,348,587,451
花蓮縣,934,1060,1082,705,764,751,885,821,852,3360
澎湖縣,256,231,171,151,146,248,389,496,673,411
基隆市,1225,1231,934,657,1217,956,1058,1605,2096,1904
新竹市,516,422,473,571,668,680,858,1260,1362,894
嘉義市,1556,1530,1934,2178,2527,2675,2547,2453,1353,1229
金門縣,101,150,244,214,272,321,342,317,340,343
連江縣,100,67,54,80,125,115,129,239,334,237
