新北市,26349,30810,30103,28647,28655,30341,34857,35279,34977,34052
臺北市,9503,10999,10046,10071,11202,9543,8893,7150,6512,4747
桃園市,20731,20398,20376,20810,17829,34012,65370,69997,105369,101418
臺中市,30159,32162,35810,37495,36390,36909,41805,42721,44161,41763
臺南市,15056,12848,14143,14603,17293,23258,37115,38388,50690,57899
高雄市,37711,39704,44283,38183,38248,36370,48061,62181,66625,54785
宜蘭縣,6018,6122,6275,6359,6795,7516,7990,7763,8924,9384
新竹縣,3607,4931,5191,5649,5915,6253,7633,11104,13450,14010
苗栗縣,5466,5593,6421,8678,10432,13446,14985,14321,13015,13536
彰化縣,15105,15723,19812,20405,20398,19033,19799,21639,21992,22727
南投縣,6042,5820,5698,5448,6304,7502,7224,7124,8255,9257
雲林縣,5431,6648,7235,7315,6896,6484,7201,9568,11196,10917
嘉義縣,5168,5288,5242,7067,7767,7684,7883,9577,9085,8389
屏東縣,9452,9895,11073,11621,12352,14462,13562,15470,16014,17199
臺東縣,4924,5407,5141,5336,4278,4559,5011,5421,4903,6619
花蓮縣,3349,3853,3494,3933,4265,5596,7268,8314,7213,10056
澎湖縣,2485,2451,2311,2365,2146,1828,1715,1490,1230,1244
基隆市,7679,10064,9936,10258,4305,4242,5770,5497,6579,7011
新竹市,4349,11315,12757,11883,7486,4551,5431,5623,5757,5933
嘉義市,1373,1425,1799,1989,2596,2255,2563,2647,2873,3163
金門縣,539,546,692,651,658,771,647,763,781,731
連江縣,50,65,83,116,123,81,98,121,141,127
