新北市,20610,29170,25135,21029,20052,11944,13202,12551,13800,16345
臺北市,16633,17110,17177,16484,16369,17046,21159,23506,24104,26973
桃園市,18970,20848,15506,12163,12174,10501,10053,10342,10633,12009
臺中市,19428,20449,14326,14409,14538,15279,18421,20722,22492,24324
臺南市,11293,11801,12392,13554,14109,16369,14986,17895,20642,20104
高雄市,15292,21479,26940,48000,55991,63880,73690,68288,39038,34848
宜蘭縣,4721,3522,4140,3108,7394,4895,3455,4322,3731,3781
新竹縣,457,549,681,865,782,1087,1220,454,502,1535
苗栗縣,1727,2336,3007,3715,4665,3560,4252,5099,6289,4532
彰化縣,5560,8211,5135,5420,8568,7091,7389,9374,10080,9923
南投縣,1650,3126,2902,2171,1786,1392,1332,1027,1345,1966
雲林縣,1695,2895,3830,3495,4748,7665,6908,8405,4853,4076
嘉義縣,2349,3858,4658,2084,1858,2497,2591,2407,3027,3259
屏東縣,3726,3515,4406,5163,5958,9445,7273,8452,5178,4344
臺東縣,2373,1521,1367,703,659,546,345,417,319,185
花蓮縣,1170,915,941,1240,859,820,960,860,959,811
澎湖縣,842,535,618,621,790,702,677,537,660,470
基隆市,2505,2741,3271,3565,2934,1511,1252,1173,1282,586
新竹市,1758,1975,2247,2093,2914,3978,4195,4433,5083,5006
嘉義市,1949,3098,3016,2548,2007,1113,1052,1453,1340,3243
金門縣,750,691,660,863,739,1243,1325,1683,1776,1364
連江縣,474,389,327,614,967,936,947,433,546,671
