100年,新北市,460027,258970,100656,39824,26349,4825,5075,1538,2135,44,0,20610
100年,臺北市,491820,272296,169328,16031,9503,1453,3005,839,2729,3,0,16633
100年,桃園市,284655,156515,46405,34286,20731,1211,3934,878,1690,35,0,18970
100年,臺中市,312112,174744,44386,33240,30159,3443,3859,1237,1533,83,0,19428
100年,臺南市,254245,129243,70499,21662,15056,2216,2273,1022,907,73,0,11293
100年,高雄市,413490,199698,94844,53905,37711,4879,3540,1860,1515,246,0,15292
100年,宜蘭縣,70577,34024,13268,9883,6018,1306,878,201,243,35,0,4721
100年,新竹縣,61300,25331,24369,5691,3607,414,764,315,346,6,0,457
100年,苗栗縣,67140,33242,14661,8316,5466,1269,1178,561,614,106,0,1727
100年,彰化縣,137331,76148,17410,14840,15105,3970,2298,1135,711,154,0,5560
100年,南投縣,60600,32819,10377,8266,6042,551,551,226,86,32,0,1650
100年,雲林縣,54789,25254,13651,5913,5431,694,1187,561,200,203,0,1695
100年,嘉義縣,60214,21367,19018,8965,5168,1510,920,254,572,91,0,2349
100年,屏東縣,84859,35280,23260,9946,9452,1248,1227,378,261,80,0,3726
100年,臺東縣,24451,6532,2346,7832,4924,289,55,79,13,8,0,2373
100年,花蓮縣,40385,21168,7055,5672,3349,380,934,295,354,8,0,1170
100年,澎湖縣,12709,6393,1184,1091,2485,141,256,148,137,33,0,842
100年,基隆市,64018,36994,6543,8085,7679,616,1225,67,273,32,0,2505
100年,新竹市,59635,41119,5017,3349,4349,2681,516,624,207,14,0,1758
100年,嘉義市,39450,19837,10309,3334,1373,609,1556,197,286,0,0,1949
100年,金門縣,6892,3583,736,1039,539,51,101,28,64,1,0,750
100年,連江縣,2481,775,904,147,50,0,100,13,17,0,0,474
101年,新北市,506379,276164,108730,43763,30810,6042,7020,2202,2366,111,0,29170
101年,臺北市,494107,280388,162125,15110,10999,1729,2916,1144,2585,2,0,17110
101年,桃園市,308114,170753,57078,31573,20398,1509,3294,1276,1356,29,0,20848
101年,臺中市,361663,203108,57603,37282,32162,2739,4871,1473,1834,141,0,20449
101年,臺南市,261671,144983,67306,19276,12848,1448,1985,1089,868,68,0,11801
101年,高雄市,411525,194333,79090,61328,39704,5364,6038,1419,2629,141,0,21479
101年,宜蘭縣,69527,34285,13257,9868,6122,1223,752,222,215,61,0,3522
101年,新竹縣,65998,26913,25270,6361,4931,426,793,352,397,5,0,549
101年,苗栗縣,69427,34310,14695,8866,5593,1276,1357,473,436,85,0,2336
101年,彰化縣,157748,87555,19744,16809,15723,3817,3998,971,761,160,0,8211
101年,南投縣,68300,37810,10450,9800,5820,580,373,210,75,55,0,3126
101年,雲林縣,63810,26390,16604,6922,6648,812,2166,987,213,173,0,2895
101年,嘉義縣,66183,22353,20348,10601,5288,1885,733,273,799,45,0,3858
101年,屏東縣,89318,40662,20237,11751,9895,1156,1364,471,218,49,0,3515
101年,臺東縣,27365,8418,2755,8804,5407,204,123,98,25,10,0,1521
101年,花蓮縣,40068,20622,6936,5559,3853,422,1060,310,374,17,0,915
101年,澎湖縣,12516,6603,1162,1082,2451,179,231,111,125,38,0,535
101年,基隆市,67478,38556,6331,7644,10064,578,1231,54,248,30,0,2741
101年,新竹市,64477,38145,6016,3261,11315,2525,422,601,192,24,0,1975
101年,嘉義市,40414,19999,9677,3592,1425,627,1530,197,270,0,0,3098
101年,金門縣,7676,4010,1003,1106,546,75,150,25,69,2,0,691
101年,連江縣,2874,926,985,404,65,7,67,13,16,0,0,389
102年,新北市,513268,279245,116865,46116,30103,6045,6370,1600,1744,45,0,25135
102年,臺北市,482462,251502,182306,15150,10046,1245,2820,402,1813,2,0,17177
102年,桃園市,329686,177844,68056,35801,20376,1828,5443,2917,1862,53,0,15506
102年,臺中市,368240,207452,64342,34717,35810,2576,5536,1479,1826,176,0,14326
102年,臺南市,272465,150883,70076,19359,14143,1505,2032,1112,899,64,0,12392
102年,高雄市,418807,187644,78614,64322,44283,5809,6366,2514,2169,145,0,26940
102年,宜蘭縣,70184,33283,13234,10289,6275,1382,932,336,232,80,0,4140
102年,新竹縣,71917,32219,24041,7631,5191,439,1006,368,335,6,0,681
102年,苗栗縣,71272,33456,16727,8392,6421,1101,1289,446,384,51,0,3007
102年,彰化縣,169538,90536,24944,18503,19812,5138,3467,901,859,245,0,5135
102年,南投縣,70587,38204,12029,9654,5698,642,874,309,251,24,0,2902
102年,雲林縣,71779,28795,18886,7634,7235,855,3144,929,292,177,0,3830
102年,嘉義縣,67984,24012,19833,10700,5242,2148,787,300,265,40,0,4658
102年,屏東縣,96670,44352,21308,11973,11073,1169,1449,529,294,116,0,4406
102年,臺東縣,27863,8092,2812,9848,5141,190,155,135,33,91,0,1367
102年,花蓮縣,42219,22101,7303,6327,3494,424,1082,281,247,20,0,941
102年,澎湖縣,13059,6873,1457,1206,2311,228,171,99,75,21,0,618
102年,基隆市,72973,45081,5680,7130,9936,533,934,116,270,21,0,3271
102年,新竹市,66729,37862,6464,3488,12757,2677,473,566,192,3,0,2247
102年,嘉義市,47569,22499,12866,4166,1799,618,1934,251,415,5,0,3016
102年,金門縣,9672,4509,2327,1040,692,78,244,57,65,0,0,660
102年,連江縣,2169,601,655,410,83,12,54,13,12,0,0,327
103年,新北市,486810,256702,115976,51655,28647,5979,4251,1019,1353,167,35,21029
103年,臺北市,488566,278570,159493,18623,10071,798,3031,478,1000,1,17,16484
103年,桃園市,347147,185499,79055,37297,20810,2123,5276,2137,2710,37,38,12163
103年,臺中市,377447,210157,66337,37607,37495,2542,5387,1498,1870,140,7,14409
103年,臺南市,286507,156739,73431,21779,14603,1714,2205,1338,1053,84,6,13554
103年,高雄市,419479,196618,77900,34861,38183,9606,7765,3055,3382,99,10,48000
103年,宜蘭縣,67903,35434,13151,7294,6359,1459,630,232,176,50,9,3108
103年,新竹縣,79445,36633,25343,8713,5649,388,1063,466,318,6,0,865
103年,苗栗縣,73198,30358,18125,8380,8678,1127,1709,502,554,48,2,3715
103年,彰化縣,164028,89382,21143,16631,20405,6412,3153,627,748,101,6,5420
103年,南投縣,75775,42061,12263,10580,5448,772,1519,469,449,41,4,2171
103年,雲林縣,73257,30053,19457,7669,7315,847,3193,695,360,172,0,3495
103年,嘉義縣,73598,25359,24651,11213,7067,2121,608,220,207,64,4,2084
103年,屏東縣,103153,41197,25151,13743,11621,1252,3397,1210,325,92,3,5163
103年,臺東縣,29825,9334,3074,10686,5336,114,173,182,34,121,68,703
103年,花蓮縣,44822,24566,7635,5849,3933,474,705,259,149,12,1,1240
103年,澎湖縣,13616,7262,1497,1226,2365,233,151,196,55,6,2,621
103年,基隆市,66722,40601,6120,4622,10258,515,657,64,310,8,3,3565
103年,新竹市,75006,43694,7781,5209,11883,2746,571,765,213,2,50,2093
103年,嘉義市,47269,22148,12394,4470,1989,664,2178,253,619,5,1,2548
103年,金門縣,10808,5239,2340,1295,651,51,214,76,73,2,6,863
103年,連江縣,3115,913,906,419,116,10,80,42,10,1,4,614
104年,新北市,471486,248317,112080,49643,28655,6077,3890,947,1530,64,232,20052
104年,臺北市,500053,290472,163783,13493,11202,1375,2301,224,696,2,135,16369
104年,桃園市,327426,196918,56854,34090,17829,2193,4241,1377,1582,34,134,12174
104年,臺中市,380776,219178,60779,37437,36390,3037,5564,1555,2159,92,48,14538
104年,臺南市,295987,157665,74567,24277,17293,2281,2697,1637,1271,136,56,14109
104年,高雄市,411365,188174,75440,27884,38248,9815,8001,2475,5135,76,126,55991
104年,宜蘭縣,75141,35224,15004,7869,6795,1565,766,286,190,27,19,7394
104年,新竹縣,78967,37174,24208,8973,5915,233,896,442,320,18,5,782
104年,苗栗縣,82011,30108,21315,10327,10432,1181,2898,447,603,12,23,4665
104年,彰化縣,166013,87227,21719,16661,20398,6207,3872,571,630,139,21,8568
104年,南投縣,79805,42799,14243,11142,6304,992,1325,710,419,53,33,1786
104年,雲林縣,78755,30185,23504,7740,6896,669,3552,704,478,244,35,4748
104年,嘉義縣,76901,27166,24092,12311,7767,2353,822,260,182,55,35,1858
104年,屏東縣,112980,45265,25665,15342,12352,1425,4735,1777,370,53,39,5958
104年,臺東縣,30098,9357,5810,8751,4278,169,231,413,27,79,324,659
104年,花蓮縣,45694,24234,7183,7494,4265,477,764,226,168,8,15,859
104年,澎湖縣,13833,8351,907,1199,2146,115,146,123,44,4,6,790
104年,基隆市,68615,46422,7501,5270,4305,490,1217,37,412,8,19,2934
104年,新竹市,79015,52161,7811,4506,7486,2385,668,635,264,3,182,2914
104年,嘉義市,47250,19236,13008,5923,2596,928,2527,321,689,5,9,2007
104年,金門縣,11554,6179,2148,1267,658,58,272,61,91,0,81,739
104年,連江縣,3045,779,580,362,123,17,125,41,19,7,24,967
105年,新北市,525890,286816,118048,64118,30341,7880,4161,1007,1356,9,211,11944
105年,臺北市,470481,307563,122608,9830,9543,1504,1498,246,514,1,127,17046
105年,桃園市,378295,227660,55941,37218,34012,2832,6224,1560,2120,47,181,10501
105年,臺中市,406782,229592,67476,44726,36909,2797,5513,1369,2947,118,57,15279
105年,臺南市,326283,168428,77265,30719,23258,3655,3072,1936,1373,123,84,16369
105年,高雄市,439217,210807,72414,27880,36370,11764,7929,2564,5431,68,109,63880
105年,宜蘭縣,75765,33396,18394,8433,7516,1401,1006,263,252,22,188,4895
105年,新竹縣,81101,37902,25064,8762,6253,190,1028,441,338,34,3,1087
105年,苗栗縣,88922,34533,19132,12590,13446,2540,2143,507,377,32,62,3560
105年,彰化縣,181448,93253,30728,20024,19033,4472,3627,1473,1019,466,262,7091
105年,南投縣,83335,42719,17383,10756,7502,912,1099,659,337,66,510,1392
105年,雲林縣,86214,28423,23803,8443,6484,603,7894,1005,1609,250,34,7665
105年,嘉義縣,92934,34897,26172,17246,7684,2240,1358,407,295,108,29,2497
105年,屏東縣,134135,54207,29966,18071,14462,1591,3849,2000,437,69,39,9445
105年,臺東縣,42884,15631,10272,10920,4559,116,274,125,36,67,340,546
105年,花蓮縣,51481,28357,7089,6922,5596,327,751,250,171,17,1182,820
105年,澎湖縣,17504,10141,2524,1709,1828,98,248,162,63,7,22,702
105年,基隆市,73229,48964,10283,6207,4242,595,956,78,354,5,33,1511
105年,新竹市,80531,55913,7542,4349,4551,2125,680,729,268,4,392,3978
105年,嘉義市,47837,18032,13408,8047,2255,1248,2675,363,693,2,0,1113
105年,金門縣,14663,7606,2799,1583,771,33,321,110,112,0,86,1243
105年,連江縣,2741,664,635,239,81,11,115,17,10,5,28,936
106年,新北市,609218,320953,143667,73554,34857,13184,5505,2694,1270,95,236,13202
