新北市,4825,6042,6045,5979,6077,7880,13184,13254,10132,8319
臺北市,1453,1729,1245,798,1375,1504,1275,1322,1296,1176
桃園市,1211,1509,1828,2123,2193,2832,4164,5582,6796,5945
臺中市,3443,2739,2576,2542,3037,2797,3073,3755,3732,3505
臺南市,2216,1448,1505,1714,2281,3655,4062,4939,5268,6050
高雄市,4879,5364,5809,9606,9815,11764,16791,22216,29454,33717
宜蘭縣,1306,1223,1382,1459,1565,1401,1063,1255,1542,1444
新竹縣,414,426,439,388,233,190,309,212,379,325
苗栗縣,1269,1276,1101,1127,1181,2540,2362,1633,1590,1511
彰化縣,3970,3817,5138,6412,6207,4472,4586,3939,5042,4442
南投縣,551,580,642,772,992,912,928,846,954,392
雲林縣,694,812,855,847,669,603,447,638,470,393
嘉義縣,1510,1885,2148,2121,2353,2240,2378,1869,2375,4362
屏東縣,1248,1156,1169,1252,1425,1591,2411,2778,3282,2885
臺東縣,289,204,190,114,169,116,165,190,84,35
花蓮縣,380,422,424,474,477,327,333,50,33,48
澎湖縣,141,179,228,233,115,98,60,35,24,2
基隆市,616,578,533,515,490,595,881,676,504,324
新竹市,2681,2525,2677,2746,2385,2125,3000,3030,2979,2852
嘉義市,609,627,618,664,928,1248,1694,2016,777,828
金門縣,51,75,78,51,58,33,31,53,48,9
連江縣,0,7,12,10,17,11,15,23,37,27
